ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
PFFBF58CA  19-10     2875(3315)  49(40)      82.8   58.2
LFFBF28CA  15-11     3066(3466)  45(41)      84.2   68.2
IFFBF58CA  13-01     3271(3691)  50(43)      85.2   65.7
IFFBF68CA  13-01     2560(2725)  48(43)      62.8   53.1
IFFBF98CA  13-01     2668(3068)  48(41)      75.4   56.0
JFFBF17CA  14-10     4040(4500)  51(44)      101.9  79.3
OFFBF08CA  19-05     2480(2480)  35(35)      71.4   71.4
LFFBF47DA  16-03     2900(3330)  52(42)      79.6   55.7
LFFBF47CA  16-09     2450(2450)  43(43)      57.2   57.2
OFFBF97CA  19-03     2600(2600)  38(38)      68.6   68.6
LFFBF97CA  16-04     2770(2935)  53(42)      69.6   51.9
MFFBF67CA  17-10     3088(3318)  44(43)      77.9   69.9
IFFBF57EA  12-09     3288(3468)  45(41)      84.9   72.6
MFFBF67CA  16-11     4200(4300)  54(48)      89.1   78.5
NFFBF28CA  18-03     2280(2280)  37(37)      62.4   62.4
OFFBF48CA  19-03     3140(3630)  43(37)      97.1   72.5
KFFBF18CA  15-05     3796(4158)  57(46)      90.3   66.4
MFFBF08CA  17-08     2645(2800)  51(40)      69.6   51.9
NFFBF09CA  18-06     2930(3160)  49(44)      72.6   60.3
IFFBF77CA  13-10     3327(3558)  58(52)      68.2   57.0
IFFBF08CA  13-03     3201(3521)  49(41)      85.2   65.8
LFFBF98CA  16-07     3850(4310)  51(42)      101.9  75.7
IFFBF47CA  13-04     2438(2778)  47(39)      71.2   51.7
IFFBF47CA  13-02     3323(3753)  52(45)      83.8   64.4
PFFBF48CA  20-04     2807(3107)  40(33)      94.4   70.2
LFFBF57CA  15-12     3120(3310)  46(43)      76.2   68.2
IFFBF28CA  13-05     3805(3985)  55(54)      73.9   69.4
IFFBF28CA  13-01     2870(3170)  51(42)      75.7   56.3
MFFBF87DA  17-01     2810(3030)  51(45)      67.2   55.3
IFFBF57CA  13-05     3163(3563)  52(50)      71.4   60.9
NFFBF87CA  18-03     3085(3485)  39(34)      101.9  79.3
KFFBF67CA  15-04     4025(4437)  61(49)      90.3   66.4
PFFBF18CA  19-10     2997(3467)  45(37)      94.7   65.9
NFFBF97CA  18-07     3400(3900)  51(43)      91.6   67.0
