ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
PFFBF38CA  20-02     1988(2198)  51(41)      53.6  39.3
HFFBF18DA  12-07     860(860)    45(45)      19.0  19.0
MFFBF08CA  16-12     1385(1600)  43(36)      44.4  31.9
PFFBF66EA  20-06     979(1189)   43(37)      32.0  23.0
HFFBF57DA  12-09     1210(1380)  44(41)      33.5  27.3
KFFBF48CA  15-06     1425(1640)  45(39)      42.5  31.9
HFFBF67CA  12-10     1180(1180)  39(39)      30.4  30.4
OFFBF38CA  19-08     1720(2150)  44(31)      69.5  39.4
KFFBF28DA  15-10     1220(1220)  39(39)      31.0  31.0
MFFBF38CA  17-02     950(1175)   39(31)      37.7  24.6
IFFBF58CA  13-07     1604(1604)  42(42)      38.3  38.3
LFFBF28CA  15-11     1383(1571)  43(37)      42.5  31.9
HFFBF68CA  12-08     1365(1365)  38(38)      36.2  36.2
HFFBF97CA  12-09     1670(1885)  42(37)      50.6  39.5
HFFBF18CA  12-12     1390(1570)  42(36)      43.1  33.1
JFFBF58CA  13-04     971(971)    46(46)      20.9  20.9
LFFBF09CA  16-06     1053(1278)  41(35)      36.2  25.6
IFFBF58CA  13-04     948(1153)   45(40)      29.1  20.9
NFFBF28DA  18-03     1410(1610)  38(34)      46.8  37.0
KFFBF77CA  15-10     1030(1235)  49(39)      31.9  21.2
IFFBF87CA  13-05     1550(1700)  44(34)      50.3  35.0
PFFBF58CA  20-02     1495(1700)  51(40)      42.2  29.5
MFFBF28CA  17-10     1180(1180)  37(37)      32.2  32.2
JFFBF18CA  13-03     883(1018)   42(36)      28.5  20.9
OFFBF58CA  19-12     1266(1496)  45(36)      41.6  28.1
HFFBF48CA  12-08     1270(1270)  35(35)      36.2  36.2
JFFBF58EA  14-04     1150(1150)  48(48)      24.1  24.1
OFFBF98DA  19-03     988(1188)   40(32)      37.7  24.6
JFFBF38CA  13-03     1100(1235)  39(35)      35.7  28.1
PFFBF56CA  20-02     980(1180)   42(36)      32.4  23.4
HFFBF78CA  12-08     1378(1378)  37(37)      37.0  37.0
LFFBF48CA  15-12     815(1020)   38(33)      31.2  21.2
KFFBF67CA  15-09     1085(1300)  38(33)      39.0  28.4
HFFBF47CA  12-07     790(790)    42(42)      19.0  19.0
IFFBF97CA  13-04     935(935)    45(45)      20.9  20.9
KFFBF58CA  15-05     1090(1295)  51(40)      32.2  21.5
PFFBF38CA  19-12     1280(1280)  34(34)      37.9  37.9
KFFBF58CA  15-06     1780(1780)  46(46)      39.1  39.1
PFFBF88CA  19-07     1280(1280)  41(41)      31.0  31.0
OFFBF68CA  19-12     1296(1526)  46(37)      41.6  28.1
JFFBF08CA  13-07     1299(1299)  47(47)      27.4  27.4
PFFBF98CA  19-03     1328(1518)  43(37)      40.8  31.0
JFFBF58DA  14-03     1105(1105)  46(46)      24.1  24.1
HFFBF78CA  12-08     1392(1392)  36(36)      39.0  39.0
