ID         交易年月  總價(含車)    單價(含車)  權狀   建坪 
IFFBF56CA  13-05     5282(5662)    56(54)      104.1  93.6 
NFFBF96CA  18-07     7756(8440)    61(53)      160.2  126.2
IFFBF76CA  13-05     5290(5700)    56(54)      105.8  94.8 
IFFBF76CA  13-03     4060(4680)    49(42)      112.4  83.2 
MFFBF88CA  17-10     3000(3000)    37(37)      81.9   81.9 
IFFBF07CA  13-05     5140(5860)    55(51)      114.5  93.6 
MFFBF48CA  17-01     5100(5100)    58(58)      87.3   87.3 
KFFBF48CA  15-03     5142(5572)    54(50)      112.1  94.5 
OFFBF56CA  19-05     3000(3000)    37(37)      81.7   81.7 
PFFBF09CA  20-01     6701(7331)    53(46)      160.0  126.0
KFFBF48CA  15-01     3657(3657)    37(37)      98.4   98.4 
JFFBF38CA  13-11     5758(6358)    36(35)      181.1  158.8
IFFBF09CA  13-05     4830(5190)    52(50)      103.3  93.6 
OFFBF58CA  18-12     6793(7483)    54(47)      160.0  126.0
LFFBF48CA  16-03     3450(3450)    41(41)      84.1   84.1 
OFFBF76DA  19-07     3188(3188)    39(39)      81.7   81.7 
KFFBF48CA  14-12     3567(3567)    37(37)      95.5   95.5 
KFFBF38CA  13-12     4102(4312)    47(45)      96.1   87.3 
OFFBF09CA  19-03     3786(4036)    46(42)      97.2   82.6 
LFFBF88CA  15-11     6913(7593)    54(49)      154.6  128.1
OFFBF68CA  19-04     8498(9378)    60(50)      186.3  141.0
OFFBF88CA  19-10     3875(4325)    46(38)      112.7  83.6 
OFFBF56CA  18-11     8600(9600)    61(52)      186.3  140.9
LFFBF68CA  15-10     7875(8565)    52(48)      178.0  151.5
PFFBF09CA  19-09     7629(8325)    60(52)      160.2  126.2
JFFBF68CA  14-11     5088(5586)    56(44)      127.5  90.7 
OFFBF27CA  19-06     4165(4665)    46(44)      107.0  91.0 
JFFBF98CA  13-12     5945(6470)    37(36)      181.1  158.8
IFFBF97CA  13-05     4721(5081)    50(48)      105.2  94.8 
IFFBF78CA  13-05     4685(4885)    51(51)      96.7   91.5 
LFFBF87CA  16-02     5513(5913)    50(44)      132.9  110.3
IFFBF67CA  13-08     5545(5935)    59(57)      103.3  93.6 
PFFBF37EA  20-07     3863(4303)    46(38)      112.5  83.4 
