ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
HFFBF78CA  12-08     1335(1335)  37(37)      36.2  36.2
IFFBF48CA  13-02     1578(1758)  44(39)      44.6  35.6
IFFBF57CA  13-05     2000(2330)  43(32)      73.1  47.0
KFFBF48CA  15-05     1755(1970)  43(38)      51.5  40.9
JFFBF18CA  14-01     1240(1240)  40(40)      31.0  31.0
OFFBF76CA  19-07     1838(2068)  47(37)      55.2  39.4
PFFBF76DA  20-07     1565(1565)  39(39)      40.5  40.5
JFFBF78CA  14-06     2200(2400)  45(42)      57.7  48.9
JFFBF88CA  14-06     1270(1270)  41(41)      31.0  31.0
HFFBF88CA  12-08     1320(1320)  36(36)      36.2  36.2
KFFBF48CA  15-06     1875(2100)  46(41)      51.7  41.0
MFFBF38CA  17-10     1300(1300)  43(43)      30.2  30.2
IFFBF18CA  13-04     1456(1576)  47(42)      37.1  30.7
IFFBF87CA  13-10     1616(1616)  43(43)      37.7  37.7
JFFBF48CA  14-06     1880(2080)  52(49)      42.5  36.0
KFFBF58CA  15-05     1790(1790)  46(46)      39.0  39.0
IFFBF48CA  13-10     1708(1903)  44(39)      49.4  39.2
HFFBF48CA  12-10     1580(1770)  39(36)      49.5  40.8
IFFBF38CA  13-05     1811(2031)  43(39)      52.5  42.2
PFFBF98DA  20-02     2030(2230)  42(38)      59.1  48.9
KFFBF17CA  15-06     1782(2022)  44(40)      50.5  40.9
KFFBF08DA  15-05     1460(1460)  42(42)      34.5  34.5
OFFBF38CA  19-08     1833(2053)  47(37)      55.2  39.4
OFFBF18CA  19-06     1895(2085)  41(37)      55.7  46.6
PFFBF58EA  20-07     1420(1650)  42(37)      45.2  34.0
JFFBF67CA  14-05     1755(1970)  43(39)      50.8  40.6
OFFBF48CA  19-06     1893(2098)  41(38)      55.7  46.6
LFFBF97CA  16-05     1966(2166)  40(31)      69.2  48.9
NFFBF08CA  18-04     1400(1400)  39(39)      36.2  36.2
PFFBF08DA  20-09     1500(1500)  40(40)      37.5  37.5
KFFBF57CA  15-08     1795(2020)  43(39)      52.0  41.3
HFFBF37CA  12-10     1668(1863)  42(37)      50.3  40.0
OFFBF08CA  19-10     1941(2351)  42(36)      64.7  46.6
OFFBF18CA  19-10     1320(1320)  40(40)      33.3  33.3
IFFBF47CA  13-08     1975(2175)  45(42)      51.6  43.8
NFFBF18CA  18-09     1420(1610)  46(40)      40.3  31.2
OFFBF48CA  19-01     1958(2368)  42(37)      64.7  46.6
OFFBF98DA  19-07     1700(1900)  41(36)      52.2  41.9
PFFBF68CA  20-03     1340(1560)  38(34)      46.4  34.9
HFFBF57CA  12-07     2058(2258)  47(43)      52.1  43.9
HFFBF77CA  12-11     1770(1930)  43(37)      52.5  40.8
HFFBF38CA  12-08     1340(1340)  37(37)      36.2  36.2
JFFBF68CA  14-07     1915(2120)  49(43)      49.4  39.2
IFFBF97CA  13-05     1910(2100)  43(40)      52.4  44.0
NFFBF28DA  18-01     1590(1780)  36(34)      52.4  44.0
OFFBF38CA  19-03     2170(2550)  47(39)      64.7  46.6
KFFBF08DA  15-07     2080(2080)  45(45)      46.0  46.0
NFFBF77CA  18-10     1325(1530)  42(38)      40.3  31.2
PFFBF68EA  20-07     1300(1300)  38(38)      34.3  34.3
HFFBF07CA  12-10     1312(1487)  38(32)      47.2  34.6
KFFBF47CA  14-12     1765(1960)  45(40)      49.4  39.2
LFFBF87DA  16-01     1210(1210)  35(35)      34.5  34.5
HFFBF47CA  12-10     1598(1743)  40(39)      44.8  39.5
