ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
OFFBF18CA  19-03     2560(2560)  31(31)      81.5   81.5 
KFFBF77CA  15-03     3948(4388)  40(38)      116.3  98.6 
HFFBF47CA  12-10     3570(3570)  34(34)      104.0  104.0
LFFBF18DA  16-03     2900(2900)  32(32)      90.2   90.2 
IFFBF57CA  13-10     2808(2808)  34(34)      82.9   82.9 
JFFBF48CA  14-04     3400(3620)  41(40)      90.9   82.5 
LFFBF68CA  16-02     3280(3280)  37(37)      87.5   87.5 
PFFBF09CA  20-03     2821(2821)  31(31)      90.1   90.1 
IFFBF67CA  13-10     3340(3340)  37(37)      90.4   90.4 
HFFBF67CA  12-10     3343(3343)  32(32)      104.4  104.4
NFFBF56CA  18-07     3490(3490)  34(34)      101.5  101.5
IFFBF58CA  13-10     2963(2963)  36(36)      82.9   82.9 
HFFBF67CA  12-10     3332(3332)  32(32)      105.2  105.2
IFFBF28CA  13-02     2918(2918)  35(35)      82.3   82.3 
OFFBF09CA  19-03     3575(4020)  42(39)      104.3  85.1 
OFFBF96CA  18-12     3926(4526)  47(37)      121.1  83.5 
OFFBF58CA  19-09     4370(4910)  42(35)      141.7  104.1
LFFBF48CA  16-11     4045(4465)  41(38)      116.4  98.6 
MFFBF56CA  17-07     4912(5542)  47(39)      141.7  104.1
LFFBF18CA  16-09     3920(4380)  39(37)      117.1  99.3 
MFFBF86CA  17-04     3960(4180)  48(45)      93.7   82.3 
KFFBF88CA  14-12     3680(4100)  37(35)      116.6  98.8 
IFFBF56CA  13-04     3300(3300)  38(38)      87.7   87.7 
KFFBF58CA  15-03     3820(4260)  39(37)      116.6  98.8 
PFFBF76DA  20-07     3000(3000)  36(36)      82.9   82.9 
OFFBF68CA  19-08     2988(2988)  33(33)      91.4   91.4 
OFFBF38CA  19-03     2850(2850)  35(35)      80.4   80.4 
JFFBF58CA  14-08     3893(4463)  47(37)      120.3  82.7 
LFFBF28CA  16-01     3308(3308)  38(38)      86.4   86.4 
JFFBF77CA  14-08     3995(4565)  48(38)      121.1  83.5 
LFFBF08CA  16-08     3148(3588)  38(36)      100.7  82.9 
OFFBF88CA  19-04     3660(4260)  43(37)      114.2  85.1 
IFFBF18CA  13-10     2702(2702)  33(33)      83.1   83.1 
IFFBF48CA  12-12     3420(3420)  36(36)      94.4   94.4 
IFFBF88CA  13-07     5510(6170)  49(40)      156.0  112.7
JFFBF47CA  14-09     5283(5913)  51(42)      141.7  104.1
JFFBF97CA  14-10     3800(3800)  44(44)      86.0   86.0 
IFFBF98CA  13-07     4436(4950)  41(33)      150.4  107.1
KFFBF87CA  15-03     3433(3893)  41(39)      100.9  83.1 
HFFBF57CA  12-10     3238(3238)  31(31)      103.2  103.2
OFFBF48CA  19-01     4730(5390)  45(38)      141.7  104.1
KFFBF48CA  15-05     3699(4149)  45(42)      99.5   82.4 
KFFBF78EA  15-02     4700(4700)  45(45)      103.7  103.7
OFFBF07CA  19-05     4345(4745)  45(40)      118.3  97.6 
IFFBF87CA  12-12     3120(3120)  37(37)      83.3   83.3 
KFFBF58CA  15-06     4010(4450)  41(38)      116.4  98.6 
KFFBF38CA  15-06     4028(4488)  41(39)      116.2  98.4 
MFFBF38CA  17-01     3302(3302)  33(33)      100.2  100.2
HFFBF77CA  12-10     3719(3719)  36(36)      103.6  103.6
IFFBF87CA  13-10     3280(3280)  36(36)      90.1   90.1 
LFFBF18CA  16-08     3658(4168)  44(34)      121.1  83.5 
PFFBF56CA  20-06     3380(3380)  37(37)      91.4   91.4 
KFFBF88CA  15-03     3383(3803)  41(38)      101.3  83.5 
KFFBF68CA  15-10     3770(3770)  36(36)      103.5  103.5
OFFBF58CA  18-12     3200(3550)  38(35)      102.5  83.3 
LFFBF86CA  16-06     3450(3960)  42(33)      120.4  82.8 
JFFBF88CA  14-11     3860(4430)  47(37)      120.4  82.8 
MFFBF88CA  17-07     4090(4550)  48(43)      105.0  85.1 
KFFBF98CA  15-04     3490(3930)  42(39)      101.3  83.5 
PFFBF57EA  20-05     4390(4830)  45(42)      116.3  98.6 
OFFBF56CA  19-04     3528(4198)  43(35)      120.4  82.8 
KFFBF68CA  15-03     4372(4792)  44(41)      117.1  99.4 
JFFBF97DA  14-11     2915(2915)  36(36)      80.5   80.5 
PFFBF78CA  20-03     2625(2625)  31(31)      83.9   83.9 
