ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
HFFBF28CA  12-07     2708(2878)  43(40)      71.3   62.3
NFFBF18CA  17-12     2218(2218)  35(35)      63.3   63.3
MFFBF28DA  17-09     2470(2700)  48(45)      60.5   51.5
NFFBF48CA  18-01     2650(3050)  42(39)      77.8   62.7
HFFBF77CA  12-11     2534(2654)  41(36)      72.8   61.9
IFFBF18CA  12-12     1946(1946)  33(33)      58.4   58.4
IFFBF07CA  13-05     3240(3580)  43(35)      103.5  75.4
JFFBF87DA  14-02     3600(3980)  49(41)      97.5   73.3
NFFBF28CA  17-12     2870(3100)  38(35)      88.7   75.8
IFFBF08CA  13-10     2770(2770)  44(44)      63.6   63.6
MFFBF57CA  17-01     2115(2115)  31(31)      67.5   67.5
NFFBF67DA  17-11     2200(2400)  38(35)      68.0   58.1
JFFBF37CA  13-12     2152(2352)  41(37)      63.6   51.9
HFFBF27CA  12-11     2053(2403)  39(34)      70.2   53.3
HFFBF37CA  12-10     1890(2070)  37(35)      59.8   51.6
KFFBF08DA  15-05     2900(2900)  37(37)      77.8   77.8
PFFBF88DA  20-05     2140(2290)  43(38)      60.8   50.2
HFFBF47CA  12-10     3100(3100)  48(48)      64.4   64.4
KFFBF87CA  15-01     3180(3350)  46(42)      80.4   69.4
JFFBF67CA  14-08     3760(4100)  50(40)      103.5  74.8
JFFBF18CA  14-05     2778(3138)  47(41)      76.8   58.9
OFFBF48CA  19-02     2820(3050)  38(35)      87.8   74.8
IFFBF97CA  13-04     2345(2470)  44(36)      68.8   53.4
IFFBF67CA  13-01     1860(1860)  32(32)      58.4   58.4
JFFBF08CA  14-03     2400(2400)  42(42)      56.5   56.5
IFFBF97CA  13-11     2295(2460)  44(39)      63.6   51.9
JFFBF58CA  14-06     2135(2355)  41(37)      63.6   51.9
KFFBF98EA  15-07     2784(3004)  42(39)      78.0   66.6
NFFBF98DA  18-05     2040(2250)  39(35)      63.6   51.9
OFFBF66CA  19-07     3100(3480)  42(36)      96.7   74.5
MFFBF48CA  17-05     2730(2730)  39(39)      70.1   70.1
JFFBF38CA  14-05     2589(2759)  49(41)      67.5   53.1
IFFBF68CA  13-07     2827(3142)  50(40)      78.1   56.5
NFFBF57CA  17-11     2084(2514)  35(31)      80.9   59.6
JFFBF27CA  13-12     2275(2485)  43(41)      60.8   52.4
IFFBF67CA  13-06     2188(2388)  42(38)      63.6   51.9
PFFBF38CA  20-05     2870(2870)  38(38)      76.5   76.5
IFFBF77CA  13-06     2504(2714)  42(38)      71.6   59.8
LFFBF57CA  16-09     3240(3600)  47(40)      91.1   69.2
PFFBF68DA  20-05     2170(2345)  43(37)      62.8   50.5
JFFBF77CA  14-02     2510(2700)  42(38)      71.5   59.1
MFFBF28CA  17-05     3058(3058)  39(39)      79.1   79.1
MFFBF38CA  17-05     2705(3145)  39(38)      83.6   68.5
NFFBF38CA  18-07     2470(2470)  36(36)      67.7   67.7
JFFBF18CA  14-07     2780(2780)  41(41)      68.2   68.2
MFFBF18CA  17-04     2620(2620)  33(33)      78.8   78.8
IFFBF18CA  13-06     2153(2353)  42(38)      62.7   51.0
KFFBF48CA  15-06     2580(2950)  48(38)      78.0   54.2
IFFBF77CA  13-01     1880(1880)  32(32)      58.4   58.4
LFFBF78CA  16-05     2050(2050)  39(39)      52.3   52.3
HFFBF58CA  12-08     2658(2838)  43(39)      72.3   62.3
